Gene ID	Associated Gene Name	EntrezGene ID
ENSMUSG00000109475	Gm34272	
ENSMUSG00000044317	Gpr4	319197
ENSMUSG00000016526	Dyrk3	226419
ENSMUSG00000085077	1700049E15Rik	
ENSMUSG00000068959	Zfp619	70227
ENSMUSG00000017677	Wsb1	78889
ENSMUSG00000054400	Cklf	75458
ENSMUSG00000052951	C130021I20Rik	
ENSMUSG00000031133	Arhgef6	73341
ENSMUSG00000015365	Mov10l1	83456
ENSMUSG00000105357	Gm42647	
ENSMUSG00000020741	Cluh	74148
ENSMUSG00000104325	Gm37321	
ENSMUSG00000031380	Vegfd	14205
ENSMUSG00000040843	Tiprl	226591
ENSMUSG00000059371	Olfr427	258134
ENSMUSG00000059371	Olfr427	259162
ENSMUSG00000099913	Gm28551	
ENSMUSG00000086306	Gm11754	
ENSMUSG00000075000	Nrbf2	641340
ENSMUSG00000075198	Olfr1045	259019
ENSMUSG00000103178	Fgfr3-ps	
ENSMUSG00000042423	Fbrs	14123
ENSMUSG00000016458	Wt1	22431
ENSMUSG00000111199	RP23-471H21.2	
ENSMUSG00000093772	4931403E22Rik	
ENSMUSG00000017299	Dnttip1	76233
ENSMUSG00000100974	Gm28459	
ENSMUSG00000101675	Gm28461	
ENSMUSG00000108888	Gm45231	
ENSMUSG00000103132	Gm37978	
ENSMUSG00000040236	Trappc5	66682
ENSMUSG00000110614	RP24-345M22.1	
ENSMUSG00000093628	Gm20616	
ENSMUSG00000093444	Vmn1r-ps152	
ENSMUSG00000107045	Gm43636	
ENSMUSG00000109339	Gm18127	
ENSMUSG00000026516	Nvl	67459
ENSMUSG00000001424	Snd1	56463
ENSMUSG00000100499	Gm28460	
ENSMUSG00000109573	Olfr1473-ps1	
ENSMUSG00000026096	Osgepl1	72085
ENSMUSG00000106843	Gm42458	
ENSMUSG00000111388	RP24-365A12.1	
ENSMUSG00000102552	Gm21763	
ENSMUSG00000094208	Vmn1r130	100043596
ENSMUSG00000084079	Gm11631	
ENSMUSG00000094015	Rps12-ps20	
ENSMUSG00000070342	Gm10287	
ENSMUSG00000109890	AU023762	
ENSMUSG00000091539	Vmn1r238	100312476
ENSMUSG00000103863	Gm37417	
ENSMUSG00000051793	Olfr284	258278
ENSMUSG00000107243	Gm43631	
ENSMUSG00000109348	Gm44852	
ENSMUSG00000080059	Rps19-ps3	
ENSMUSG00000076480	Trbv29	
ENSMUSG00000044086	Lmod3	320502
ENSMUSG00000081244	Gm13529	
ENSMUSG00000098768	Gm27207	
ENSMUSG00000100496	Gm28639	
ENSMUSG00000105734	4930558C23Rik	
ENSMUSG00000103553	Gm38218	
ENSMUSG00000098135	Gm6946	
ENSMUSG00000106883	Gm43632	
ENSMUSG00000101707	Gm28916	
ENSMUSG00000095890	Gm7958	
ENSMUSG00000105476	Gm43740	
ENSMUSG00000108877	Gm45157	
ENSMUSG00000090699	Gm9071	
ENSMUSG00000096741	Vmn1r-ps76	
ENSMUSG00000036721	Zscan12	22758
ENSMUSG00000085463	9430024E24Rik	
ENSMUSG00000110031	Gm18205	
ENSMUSG00000108426	Olfr465-ps1	
ENSMUSG00000104426	Gm38369	
ENSMUSG00000111364	RP24-365A12.2	
ENSMUSG00000107516	Gm44244	
ENSMUSG00000081173	Gm13500	
ENSMUSG00000081683	Fzd10	93897
ENSMUSG00000092168	Gm9075	
ENSMUSG00000021384	Susd3	66329
ENSMUSG00000102304	Gm35843	
ENSMUSG00000082145	Gm12312	
ENSMUSG00000075197	Olfr1046	258575
ENSMUSG00000059708	Akap17b	338351
ENSMUSG00000046486	Olfr231	404222
ENSMUSG00000076481	Trbv30	
ENSMUSG00000046351	Zfp322a	218100
ENSMUSG00000096988	A930029G22Rik	
ENSMUSG00000110250	Gm9077	
ENSMUSG00000102302	Gm38190	
ENSMUSG00000052214	Opa3	403187
ENSMUSG00000073374	C030034I22Rik	
ENSMUSG00000099518	Gm13275	545652
ENSMUSG00000086547	Gm11755	
ENSMUSG00000108621	Gm37494	
ENSMUSG00000085562	2610028E06Rik	
ENSMUSG00000096215	Smim22	432995
ENSMUSG00000098391	Gm27208	
ENSMUSG00000049806	Olfr466	258816
ENSMUSG00000042345	Ubash3a	328795
ENSMUSG00000003037	Rab8a	17274
ENSMUSG00000059423	Zfp933	242747
ENSMUSG00000024921	Smarca2	67155
ENSMUSG00000004748	Mtfp1	67900
ENSMUSG00000040396	Abhd13	68904
ENSMUSG00000106229	Gm19409	
ENSMUSG00000105797	Gm42649	
ENSMUSG00000024406	Pou5f1	18999
ENSMUSG00000025004	Cyp2c40	13099
ENSMUSG00000087258	Gm15461	
ENSMUSG00000024384	Iws1	73473
ENSMUSG00000061666	Gdpd1	66569
ENSMUSG00000093941	Vmn1r131	100043016
ENSMUSG00000039813	Tbc1d2	381605
ENSMUSG00000029166	Mapre3	100732
ENSMUSG00000111752	RP23-132J19.1	
ENSMUSG00000104150	Gm44573	
ENSMUSG00000106515	Gm30382	
ENSMUSG00000109393	Gm44936	
ENSMUSG00000108879	Gm18056	
ENSMUSG00000109434	Gm44937	
ENSMUSG00000081191	Gm11271	
ENSMUSG00000025324	Atp10a	11982
ENSMUSG00000098360	4930535O05Rik	
ENSMUSG00000101311	Gm28250	
ENSMUSG00000096177	Gm5070	
ENSMUSG00000101076	Gm4545	
ENSMUSG00000100803	Gm28251	
ENSMUSG00000104803	Gm43108	
ENSMUSG00000104705	4930405N21Rik	
ENSMUSG00000104646	Gm9173	
ENSMUSG00000054426	A930005H10Rik	
ENSMUSG00000096273	Olfr1474	258123
ENSMUSG00000100873	Gm28243	
ENSMUSG00000075196	Olfr1047	259014
ENSMUSG00000079179	Rab10os	
ENSMUSG00000100462	Gm28115	
ENSMUSG00000086349	Gm13497	
ENSMUSG00000097532	Gm4349	
ENSMUSG00000102195	Gm38168	
ENSMUSG00000101692	Gm28244	
ENSMUSG00000022797	Tfrc	22042
ENSMUSG00000108514	2310001K20Rik	
ENSMUSG00000039977	Ccdc67	234964
ENSMUSG00000085534	Gm2117	
ENSMUSG00000025754	Agbl1	244071
ENSMUSG00000100275	Gm28915	
ENSMUSG00000105017	Gm43107	
ENSMUSG00000032504	Pdcd6ip	18571
ENSMUSG00000100464	Gm21771	
ENSMUSG00000086453	Gm11457	
ENSMUSG00000096708	Olfr1475	258298
ENSMUSG00000050490	Gm8394	
ENSMUSG00000030491	Tdrd12	71981
ENSMUSG00000100472	Gm28918	
ENSMUSG00000033554	Dph5	69740
ENSMUSG00000110626	RP23-312B17.1	
ENSMUSG00000100679	Gm28778	
ENSMUSG00000016626	Nlrp14	76858
ENSMUSG00000023140	Reg2	19693
ENSMUSG00000100289	Gm28917	
ENSMUSG00000008438	Adam21	56622
ENSMUSG00000026095	Asnsd1	70396
ENSMUSG00000030663	1110004F10Rik	56372
ENSMUSG00000110498	RP23-312B17.3	
ENSMUSG00000084114	Gm8421	
ENSMUSG00000100486	Gm4131	
ENSMUSG00000110697	RP23-312B17.2	
ENSMUSG00000075195	Olfr1048	259016
ENSMUSG00000022583	Ly6f	17071
ENSMUSG00000087097	4930586N03Rik	
ENSMUSG00000102815	Gm37813	
ENSMUSG00000035184	Fam124a	629059
ENSMUSG00000109189	Olfr1476-ps1	
ENSMUSG00000109054	Gm44789	
ENSMUSG00000031654	Cbln1	12404
ENSMUSG00000083667	Gm11334	
ENSMUSG00000044835	Ankrd45	73844
ENSMUSG00000080889	Gm7974	
ENSMUSG00000031497	Tnfsf13b	24099
ENSMUSG00000093516	Gm19553	
ENSMUSG00000081281	Gm6274	
ENSMUSG00000104065	Gm37197	
ENSMUSG00000043102	Qrfp	227717
ENSMUSG00000099651	Gm29078	
ENSMUSG00000103126	Gm37387	
ENSMUSG00000075194	Olfr1049	259018
ENSMUSG00000099467	Gm28116	
ENSMUSG00000060245	Vmn1r228	171226
ENSMUSG00000040562	Gstm2	14863
ENSMUSG00000101503	Gm28364	
ENSMUSG00000056184	Olfr283	259038
ENSMUSG00000072049	Vmn2r121	22300
ENSMUSG00000072049	Vmn2r121	22301
ENSMUSG00000072049	Vmn2r121	100038941
ENSMUSG00000101289	Gm3454	
ENSMUSG00000006299	Aamp	227290
ENSMUSG00000071629	Olfr1477	258691
ENSMUSG00000064267	Hvcn1	74096
ENSMUSG00000098295	Gm19872	
ENSMUSG00000037005	Xpnpep2	170745
ENSMUSG00000017300	Tnnc2	21925
ENSMUSG00000099934	Gm17983	
ENSMUSG00000098086	1700120C18Rik	
ENSMUSG00000064036	Mro	71263
ENSMUSG00000043155	Hpdl	242642
ENSMUSG00000095494	Gm7391	
ENSMUSG00000097248	Gm2694	
ENSMUSG00000028524	Sgip1	73094
ENSMUSG00000096831	Rps12-ps6	
ENSMUSG00000074903	Gm2058	
ENSMUSG00000031146	Plp2	18824
ENSMUSG00000049001	Ndnf	68169
ENSMUSG00000109184	Olfr1478-ps1	
ENSMUSG00000083969	Olfr1050-ps1	
ENSMUSG00000022201	Zfr	22763
ENSMUSG00000111299	RP24-254A5.3	
ENSMUSG00000086261	Gm3765	
ENSMUSG00000103899	Gm37940	
ENSMUSG00000049939	Lrrc4	192198
ENSMUSG00000050215	Olfr70	56014
ENSMUSG00000022329	Stk3	56274
ENSMUSG00000110124	RP23-74O12.7	
ENSMUSG00000048758	Rpl29	19944
ENSMUSG00000048758	Rpl29	666642
ENSMUSG00000102015	Gm21476	
ENSMUSG00000109925	Gm45315	
ENSMUSG00000053158	Fes	14159
ENSMUSG00000073894	Rbmxl2	76572
ENSMUSG00000109594	1700047O18Rik	
ENSMUSG00000049160	4930469G21Rik	
ENSMUSG00000020821	Kif1c	16562
ENSMUSG00000075193	Olfr1051	404324
ENSMUSG00000109724	RP23-74O12.6	
ENSMUSG00000039934	Gsap	212167
ENSMUSG00000037636	Slc25a43	194744
ENSMUSG00000100256	Gm28851	
ENSMUSG00000001403	Ube2c	68612
ENSMUSG00000026841	Fibcd1	98970
ENSMUSG00000070822	Zscan18	232875
ENSMUSG00000057215	Platr28	
ENSMUSG00000039032	Tsga13	116732
ENSMUSG00000031145	Prickle3	54630
ENSMUSG00000026991	Pkp4	227937
ENSMUSG00000101003	Gm28456	
ENSMUSG00000105174	Gm43353	
ENSMUSG00000087621	1700003G18Rik	
ENSMUSG00000054106	Try4	22074
ENSMUSG00000105108	Gm42687	
ENSMUSG00000053873	Aym1	503692
ENSMUSG00000082769	Gm15793	
ENSMUSG00000021327	Zkscan3	72739
ENSMUSG00000026003	Acadl	11363
ENSMUSG00000086523	Gm13499	
ENSMUSG00000022722	Arl6	56297
ENSMUSG00000085321	4930412F09Rik	
ENSMUSG00000001497	Pax9	18511
ENSMUSG00000025870	Arl10	56795
ENSMUSG00000102891	Gm19114	
ENSMUSG00000101838	Gm18800	
ENSMUSG00000041872	Il17f	257630
ENSMUSG00000097992	Gm27016	
ENSMUSG00000003153	Slc2a3	20527
ENSMUSG00000086007	1700057H21Rik	
ENSMUSG00000026851	BC005624	227707
ENSMUSG00000103162	Gm38147	
ENSMUSG00000102215	Gm2464	
ENSMUSG00000049620	Prss33	353130
ENSMUSG00000086417	Gm12996	
ENSMUSG00000102875	Gm37139	
ENSMUSG00000109300	Gm18462	
ENSMUSG00000104514	Gm37164	
ENSMUSG00000026097	Ormdl1	227102
ENSMUSG00000103856	Gm2474	
ENSMUSG00000054618	Gm9951	
ENSMUSG00000086926	Gm6226	
ENSMUSG00000074322	Vmn1r132	100043604
ENSMUSG00000039717	Ralyl	76897
ENSMUSG00000108771	Gm45210	
ENSMUSG00000035472	Slc25a21	217593
ENSMUSG00000075390	Rpl36-ps8	
ENSMUSG00000033904	Ccp110	101565
ENSMUSG00000098009	Gm5597	
ENSMUSG00000001228	Uhrf1	18140
ENSMUSG00000110393	Gm36445	
ENSMUSG00000099757	BE692007	
ENSMUSG00000028750	Pla2g2c	18781
ENSMUSG00000095420	Astx1a	
ENSMUSG00000079419	Ms4a6c	73656
ENSMUSG00000104792	Gm43308	
ENSMUSG00000086019	Gm15762	
ENSMUSG00000067909	Slxl1	75140
ENSMUSG00000067909	Slxl1	626315
ENSMUSG00000063430	Wscd2	320916
ENSMUSG00000039976	Tbc1d16	207592
ENSMUSG00000036893	Ehmt1	77683
ENSMUSG00000087223	4930442L01Rik	
ENSMUSG00000046450	Olfr71	56015
ENSMUSG00000030036	Mogs	57377
ENSMUSG00000101787	Gm20853	
ENSMUSG00000089894	Gm15524	
ENSMUSG00000104766	Gm43734	
ENSMUSG00000021111	Papola	18789
ENSMUSG00000000555	Itga5	16402
ENSMUSG00000062006	Rpl34	68436
ENSMUSG00000062006	Rpl34	619547
ENSMUSG00000062006	Rpl34	100043876
ENSMUSG00000060803	Gstp1	14870
ENSMUSG00000028096	Gpr89	67549
ENSMUSG00000100054	Gm28202	
ENSMUSG00000002679	Med6	69792
ENSMUSG00000022305	Lrp12	239393
ENSMUSG00000097124	A530020G20Rik	
ENSMUSG00000061150	Vmn1r229	171224
ENSMUSG00000094238	Rps12-ps11	
ENSMUSG00000071456	1110002L01Rik	
ENSMUSG00000101043	Gm29075	
ENSMUSG00000107333	Gm43008	
ENSMUSG00000043621	Ubxn10	212190
ENSMUSG00000045417	Vmn1r230	171231
ENSMUSG00000039865	Slc44a3	213603
ENSMUSG00000090793	Gm6650	
ENSMUSG00000017307	Acot8	170789
ENSMUSG00000060738	Prl7c1	67505
ENSMUSG00000084334	Gm13494	
ENSMUSG00000021200	Asb2	65256
ENSMUSG00000028552	Eps15	13858
ENSMUSG00000099390	Gm29225	
ENSMUSG00000083472	Gm13491	
ENSMUSG00000037486	Asxl2	75302
ENSMUSG00000061959	Ces1e	13897
ENSMUSG00000050533	Gm9845	
ENSMUSG00000038593	Tctn1	654470
ENSMUSG00000106786	Gm42781	
ENSMUSG00000101243	Gm28919	
ENSMUSG00000050933	Vmn1r231	171230
ENSMUSG00000106615	Gm8968	
ENSMUSG00000100640	Gm29073	
ENSMUSG00000111257	RP23-373F11.1	
ENSMUSG00000109078	Gm19033	
ENSMUSG00000106846	Gm42786	
ENSMUSG00000100628	Gm29648	
ENSMUSG00000031173	Otc	18416
ENSMUSG00000110732	RP23-444E13.1	
ENSMUSG00000100989	Gm29647	
ENSMUSG00000105521	Gm35702	
ENSMUSG00000087404	Gm11752	
ENSMUSG00000107066	Gm4482	
ENSMUSG00000106948	Gm42785	
ENSMUSG00000061928	Dsg1b	225256
ENSMUSG00000107282	Gm43630	
ENSMUSG00000089715	Cbx6	494448
ENSMUSG00000085548	Gm11753	
ENSMUSG00000031789	Cngb1	333329
ENSMUSG00000089806	Gm16570	
ENSMUSG00000111464	RP23-470N9.1	
ENSMUSG00000100068	Gm18558	
ENSMUSG00000018474	Chd3	216848
ENSMUSG00000100912	Gm2021	
ENSMUSG00000090244	Gm16572	
ENSMUSG00000109261	Gm44938	
ENSMUSG00000101901	Gm9230	
ENSMUSG00000105614	Dnd1-ps	
ENSMUSG00000090812	Samd15	238333
ENSMUSG00000108887	Olfr1479-ps1	
ENSMUSG00000101556	Gm28869	
ENSMUSG00000050373	Snx21	101113
ENSMUSG00000099420	Gm13279	545653
ENSMUSG00000103828	2610001A08Rik	
ENSMUSG00000082841	Gm12994	
ENSMUSG00000036552	Ermard	381062
ENSMUSG00000036552	Ermard	100041574
ENSMUSG00000036552	Ermard	100041621
ENSMUSG00000084085	Gm16140	
ENSMUSG00000038298	Pdzk1	59020
ENSMUSG00000021702	Thbs4	21828
ENSMUSG00000090185	Gm15523	
ENSMUSG00000037884	1700017G19Rik	
ENSMUSG00000020160	Meis1	17268
ENSMUSG00000016319	Slc25a5	11740
ENSMUSG00000029022	Miip	28010
ENSMUSG00000029064	Gnb1	14688
ENSMUSG00000038740	Mvb12b	72543
ENSMUSG00000031171	Ftsj1	54632
ENSMUSG00000062542	Syt9	60510
ENSMUSG00000038507	Parp12	243771
ENSMUSG00000082115	Gm15490	
ENSMUSG00000022540	Rogdi	66049
ENSMUSG00000102085	4930435C17Rik	
ENSMUSG00000096318	Astx4a	
ENSMUSG00000006134	Crkl	12929
ENSMUSG00000109083	Gm44992	
ENSMUSG00000045822	Zswim3	67538
ENSMUSG00000071001	Hrct1	100039781
ENSMUSG00000030035	Wbp1	22377
ENSMUSG00000038055	Dexi	58239
ENSMUSG00000093990	Rps12-ps12	
ENSMUSG00000068141	Gm10232	
ENSMUSG00000095484	Olfr1480	404339
ENSMUSG00000089690	Gm16569	
ENSMUSG00000100536	Gm28873	
ENSMUSG00000094675	Astx4b	
ENSMUSG00000022677	Fopnl	66086
ENSMUSG00000101888	1700025H01Rik	
ENSMUSG00000026840	Lamc3	23928
ENSMUSG00000005625	Psmd4	19185
ENSMUSG00000101198	Gm29021	
ENSMUSG00000035232	Pdk3	236900
ENSMUSG00000044697	Gm5479	
ENSMUSG00000030304	Ergic2	67456
ENSMUSG00000100431	4930558N11Rik	
ENSMUSG00000054708	Ankrd24	70615
ENSMUSG00000017767	Spata25	75642
ENSMUSG00000023795	Pisd-ps2	
ENSMUSG00000032739	Pram1	378460
ENSMUSG00000102227	Gm37302	
ENSMUSG00000110135	RP23-80J7.5	
ENSMUSG00000104506	Gm37740	
ENSMUSG00000029913	Prdm5	70779
ENSMUSG00000043461	Sptssb	66183
ENSMUSG00000063694	Cycs	13063
ENSMUSG00000110501	RP23-400E10.3	
ENSMUSG00000031930	Wwp2	66894
ENSMUSG00000025869	Nop16	28126
ENSMUSG00000028795	Ccdc28b	66264
ENSMUSG00000086484	Nron	
ENSMUSG00000082645	Gm15481	
ENSMUSG00000062169	Cnih4	98417
ENSMUSG00000016495	Plgrkt	67759
ENSMUSG00000017764	Zswim1	71971
ENSMUSG00000085612	Gm15868	
ENSMUSG00000087557	Gm15869	
ENSMUSG00000107182	Gm43268	
ENSMUSG00000023802	Nox3	224480
ENSMUSG00000075574	Defb48	432867
ENSMUSG00000051528	Olfr424	258716
ENSMUSG00000037638	Zbtb42	382639
ENSMUSG00000006724	Cyp27b1	13115
ENSMUSG00000107173	Gm43266	
ENSMUSG00000028475	5430416O09Rik	
ENSMUSG00000050714	Zbtb26	320633
ENSMUSG00000092412	Gm20507	
ENSMUSG00000084979	Gm16267	
ENSMUSG00000108945	Olfr1481-ps1	
ENSMUSG00000102371	Olfr258-ps1	
ENSMUSG00000024906	Mus81	71711
ENSMUSG00000052125	F730043M19Rik	
ENSMUSG00000075573	Defb47	654465
ENSMUSG00000084990	Gm14549	
ENSMUSG00000073423	Zfp414	328801
ENSMUSG00000097574	C920006O11Rik	
ENSMUSG00000109319	Olfr1482-ps1	
ENSMUSG00000066798	Zbtb6	241322
ENSMUSG00000096135	Rps12-ps18	
ENSMUSG00000084876	Gm14965	
ENSMUSG00000044807	Zfp354c	30944
ENSMUSG00000095283	Astx1b	
ENSMUSG00000075572	Defb43	654458
ENSMUSG00000091950	Olfr421-ps1	258715
ENSMUSG00000104244	2900018N21Rik	
ENSMUSG00000103549	Gm17895	
ENSMUSG00000087507	Gm16141	
ENSMUSG00000089837	Npcd	504193
ENSMUSG00000020883	Fbxl20	72194
ENSMUSG00000104184	Gm37818	
ENSMUSG00000059654	Reg1	19692
ENSMUSG00000032946	Rasgrp2	19395
ENSMUSG00000085181	Gm12709	
ENSMUSG00000099414	Gm28113	
ENSMUSG00000106967	Gm42477	
ENSMUSG00000055033	Olfr420	258302
ENSMUSG00000046057	Gm15428	
ENSMUSG00000107028	Gm5043	
ENSMUSG00000028523	Tctex1d1	67344
ENSMUSG00000098190	Gm5210	
ENSMUSG00000107114	Gm43440	
ENSMUSG00000078552	Dcdc2b	100504491
ENSMUSG00000079806	Gm21719	
ENSMUSG00000025229	Pitx3	18742
ENSMUSG00000052316	Lrrc15	74488
ENSMUSG00000105385	9230114J08Rik	
ENSMUSG00000081783	Gm15599	
ENSMUSG00000049908	Gja8	14616
ENSMUSG00000032348	Gsta4	14860
ENSMUSG00000098187	Gm8927	
ENSMUSG00000037868	Egr2	13654
ENSMUSG00000028797	Tmem234	76799
ENSMUSG00000069855	Slc47a2	380701
ENSMUSG00000069729	Arid1b	239985
ENSMUSG00000062007	Hsh2d	209488
ENSMUSG00000084087	Gm13650	
ENSMUSG00000048731	Ggnbp1	70772
ENSMUSG00000045969	Ing1	26356
ENSMUSG00000100003	Gm29646	
ENSMUSG00000038155	Gstp2	14869
ENSMUSG00000085041	BB031773	
ENSMUSG00000039219	Arid4b	94246
ENSMUSG00000038754	Elovl3	12686
ENSMUSG00000047149	Olfr1052	259012
ENSMUSG00000039899	Fgl2	14190
ENSMUSG00000092394	Gm20445	
ENSMUSG00000038304	Cd160	54215
ENSMUSG00000085689	Gm16838	
ENSMUSG00000056332	Gm16294	
ENSMUSG00000050671	Ism2	217738
ENSMUSG00000022421	Nptxr	73340
ENSMUSG00000104920	Gm43215	
ENSMUSG00000100479	Gm28921	
ENSMUSG00000075192	Olfr1053	257974
ENSMUSG00000086356	Gm13441	
ENSMUSG00000101223	4930568A12Rik	
ENSMUSG00000064280	Ccdc146	75172
ENSMUSG00000099352	Gm28920	
ENSMUSG00000108181	C030015A19Rik	
ENSMUSG00000109252	Gm18453	
ENSMUSG00000021604	Irx4	50916
ENSMUSG00000083864	Gm13719	
ENSMUSG00000067006	Serpinb5	20724
ENSMUSG00000048794	Cfap100	243538
ENSMUSG00000082063	Gm12993	
ENSMUSG00000062165	Vmn1r232	171227
ENSMUSG00000075190	Olfr1054	259021
ENSMUSG00000108909	Gm9373	
ENSMUSG00000097175	Gm27018	
ENSMUSG00000093482	Gm20619	
ENSMUSG00000067949	Vmn1r-ps144	
ENSMUSG00000070522	Gm6505	
ENSMUSG00000109221	Gm9375	
ENSMUSG00000100422	Gm29226	
ENSMUSG00000017832	Hspb9	75482
ENSMUSG00000027690	Slc2a2	20526
ENSMUSG00000108838	Gm45189	
ENSMUSG00000057123	Gja5	14613
ENSMUSG00000085776	5430402O13Rik	
ENSMUSG00000024769	Cdc42bpg	240505
ENSMUSG00000108902	Gm9377	
ENSMUSG00000097669	Gm8649	
ENSMUSG00000029828	4921507P07Rik	70821
ENSMUSG00000094317	Gm6660	
ENSMUSG00000097900	Gm8652	
ENSMUSG00000079605	Zbtb9	474156
ENSMUSG00000105275	Gm43214	
ENSMUSG00000020623	Map2k6	26399
ENSMUSG00000106976	Gm42963	
ENSMUSG00000085816	Gm13052	
ENSMUSG00000073144	4930599N23Rik	
ENSMUSG00000085352	Gm4128	
ENSMUSG00000039873	Neurl2	415115
ENSMUSG00000103797	Gm18964	
ENSMUSG00000032412	Atp1b3	11933
ENSMUSG00000106310	Gm43523	
ENSMUSG00000057789	Bak1	12018
ENSMUSG00000084896	Gm11632	
ENSMUSG00000003469	Phyhip	105653
ENSMUSG00000096127	Gm14625	
ENSMUSG00000063531	Sema3e	20349
ENSMUSG00000042599	Kdm7a	338523
ENSMUSG00000027365	Trpm7	58800
ENSMUSG00000106974	Vmn1r-ps5	
ENSMUSG00000110067	6330411D24Rik	
ENSMUSG00000022842	Ece2	107522
ENSMUSG00000017754	Pltp	18830
ENSMUSG00000046652	Tas2r143	387514
ENSMUSG00000107380	Vmn1r-ps6	
ENSMUSG00000103678	Gm37624	
ENSMUSG00000036938	Try5	103964
ENSMUSG00000059775	Rps26-ps1	
ENSMUSG00000106893	Vmn1r-ps7	
ENSMUSG00000101009	1700108F19Rik	
ENSMUSG00000107185	Gm42642	
ENSMUSG00000103898	Gm30238	
ENSMUSG00000028859	Csf3r	12986
ENSMUSG00000085223	Gm11210	
ENSMUSG00000107233	Gm42959	
ENSMUSG00000095398	Gm16404	
ENSMUSG00000086139	Gm11211	
ENSMUSG00000091329	1700112D23Rik	
ENSMUSG00000057969	Sema3b	20347
ENSMUSG00000033350	Chst2	54371
ENSMUSG00000022494	Shisa9	72555
ENSMUSG00000082207	Gm12998	
ENSMUSG00000107601	Gm2651	
ENSMUSG00000105395	Gm42672	
ENSMUSG00000034528	Hsd17b13	243168
ENSMUSG00000033948	Zswim5	74464
ENSMUSG00000101280	Gm8600	
ENSMUSG00000106955	Gm42960	
ENSMUSG00000109557	Gm18463	
ENSMUSG00000042248	Cyp2c37	13096
ENSMUSG00000106945	Gm42961	
ENSMUSG00000109276	Gm4548	
ENSMUSG00000034430	Zxdc	80292
ENSMUSG00000015522	Arnt	11863
ENSMUSG00000024807	Syvn1	74126
ENSMUSG00000106779	Gm8579	
ENSMUSG00000108994	Gm31663	
ENSMUSG00000107184	Gm18222	
ENSMUSG00000111716	RP23-222H15.14	
ENSMUSG00000029148	Nrbp1	192292
ENSMUSG00000107017	Gm43196	
ENSMUSG00000086730	Platr12	
ENSMUSG00000046856	Gpr1	241070
ENSMUSG00000099955	Gm28880	
ENSMUSG00000036412	Arsi	545260
ENSMUSG00000075189	Olfr1055	259023
ENSMUSG00000109751	Gm45479	
ENSMUSG00000033499	Larp4b	217980
ENSMUSG00000099873	Gm28452	
ENSMUSG00000106734	Gm20559	
ENSMUSG00000031627	Irf2	16363
ENSMUSG00000105528	Gm43519	
ENSMUSG00000109545	Gm44788	
ENSMUSG00000055833	1700034H15Rik	
ENSMUSG00000054061	Gm9934	
ENSMUSG00000108974	Olfr1483-ps1	
ENSMUSG00000106962	Gm43633	
ENSMUSG00000020536	Llgl1	16897
